Title;Language;Genre;Runtime;IMDB Score
Amanda Knox;English;Documentary;92;6.9
Bigflo & Oil: Hip Hop Frenzy;French;Documentary;100;6.9
Biggie: I Got a Story to Tell;English;Documentary;97;6.9
Cops and Robbers;English;Animation / Short;7;6.9
I Don't Feel at Home in This World Anymore;English;Drama;96;6.9
Laerte-se;Portuguese;Documentary;100;6.9
Mank;English;Biopic;132;6.9
Our Souls at Night;English;Romance;103;6.9
Outlaw King;English;Historical-epic;121;6.9
Pagglait;Hindi;Comedy-drama;114;6.9
ReMastered: Who Shot the Sheriff?;English;Documentary;57;6.9
Seeing Allred;English;Documentary;95;6.9
Spelling the Dream;English;Documentary;83;6.9
The Claudia Kishi Club;English;Documentary;17;6.9
The Half of It;English;Romance;105;6.9
The Highwaymen;English;Crime drama;131;6.9
The Lonely Island Presents: The Unauthorized Bash Brothers Experience;English;Comedy / Musical;30;6.9
The Meyerowitz Stories (New and Selected);English;Comedy-drama;112;6.9
Feminists: What Were They Thinking?;English;Documentary;86;7
Gaga: Five Foot Two;English;Documentary;100;7
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron;English;Aftershow / Interview;14;7
Kingdom of Us;English;Documentary;109;7
Lorena, Light-Footed Woman;Spanish;Documentary;28;7
Los Tigres del Norte at Folsom Prison;Spanish;Documentary;64;7
Ma Rainey's Black Bottom;English;Drama;94;7
Ma Rainey's Black Bottom: A Legacy Brought to Screen;English;Aftershow / Interview;31;7
Operation Varsity Blues: The College Admissions Scandal;English;Documentary;99;7
Pele;English;Documentary;108;7
ReMastered: Devil at the Crossroads;English;Documentary;48;7
ReMastered: The Lion's Share;English;Documentary;84;7
ReMastered: The Miami Showband Massacre;English;Documentary;70;7
Resurface;English;Documentary;27;7
Rocko's Modern Life: Static Cling;English;Animation / Comedy;45;7
Rose Island;Italian;Comedy;117;7
The Christmas Chronicles;English;Christmas/Fantasy/Adventure/Comedy;104;7
The Dirt;English;Biopic;108;7
The Night Comes for Us;Indonesian;Action-thriller;121;7
13th: A Conversation with Oprah Winfrey & Ava DuVernay;English;Aftershow / Interview;36;7.1
Angela's Christmas;English;Animation;30;7.1
Angela's Christmas Wish;English;Animation;47;7.1
Beats;English;Drama;110;7.1
Circus of Books;English;Documentary;92;7.1
Dance Dreams: Hot Chocolate Nutcracker;English;Documentary;80;7.1
Derren Brown: Sacrifice;English;Mentalism special;49;7.1
El Pepe: A Supreme Life;Spanish;Documentary;73;7.1
End Game;English;Documentary;40;7.1
Evelyn;English;Documentary;96;7.1
Ferry;Dutch;Crime drama;106;7.1
Grass Is Greener;English;Documentary;97;7.1
Guillermo Vilas: Settling the Score;Spanish;Documentary;94;7.1
Joshua: Teenager vs. Superpower;English;Documentary;78;7.1
Keith Richards: Under the Influence;English;Documentary;81;7.1
Knock Down the House;English;Documentary;87;7.1
Loudon Wainwright III: Surviving Twin;English;One-man show;91;7.1
My Beautiful Broken Brain;English;Documentary;91;7.1
One of Us;English;Documentary;95;7.1
Pieces of a Woman;English;Drama;126;7.1
Ram Dass, Going Home;English;Documentary;31;7.1
ReMastered: Tricky Dick & the Man in Black;English;Documentary;58;7.1
Rooting for Roona;Bengali;Documentary;41;7.1
The Devil All the Time;English;Psychological thriller;138;7.1
The Dig;English;Drama;112;7.1
The Great Hack;English;Documentary;114;7.1
The White Tiger;English;Drama;125;7.1
To All the Boys I've Loved Before;English;Romantic comedy;99;7.1
American Murder: The Family Next Door;English;Documentary;82;7.2
Audrie & Daisy;English;Documentary;98;7.2
First They Killed My Father;Khmer/English/French;Drama;136;7.2
Fyre: The Greatest Party That Never Happened;English;Documentary;97;7.2
Into the Inferno;English;Documentary;107;7.2
LA Originals;English;Documentary;92;7.2
Ladies First;English/Hindi;Documentary;39;7.2
Love per Square Foot;Hindi;Romantic comedy;133;7.2
Paddleton;English;Drama-Comedy;89;7.2
Private Life;English;Drama;124;7.2
Seventeen;Spanish;Coming-of-age comedy-drama;99;7.2
Sometimes;Tamil;Drama;101;7.2
Soni;Hindi;Crime drama;97;7.2
The 40-Year-Old Version;English;Comedy;124;7.2
The Disciple;Marathi;Drama;129;7.2
The Edge of Democracy;Portuguese;Documentary;121;7.2
The King;English;Historical drama;140;7.2
The Road to El Camino: A Breaking Bad Movie;English;Making-of;13;7.2
The Siege of Jadotville;English;War;108;7.2
Zion ;English;Documentary;11;7.2
Dolemite Is My Name;English;Biopic;118;7.3
El Camino: A Breaking Bad Movie;English;Crime drama;121;7.3
Extremis;English;Documentary;24;7.3
Father Soldier Son;English;Documentary;100;7.3
Get Me Roger Stone;English;Documentary;101;7.3
I'm No Longer Here;Spanish;Drama;105;7.3
Mucho Mucho Amor: The Legend of Walter Mercado ;Spanish/English;Documentary;96;7.3
Octonauts & the Great Barrier Reef;English;Animation;47;7.3
Okja;English/Korean;Action-adventure;121;7.3
On My Skin;Italian;Crime drama;100;7.3
Raat Akeli Hai;Hindi;Thriller;149;7.3
ReMastered: Massacre at the Stadium;English/Spanish;Documentary;64;7.3
ReMastered: The Two Killings of Sam Cooke;English;Documentary;64;7.3
Secrets of the Saqqara Tomb;English/Arabic;Documentary;114;7.3
Sitara: Let Girls Dream;English;Animation / Short;15;7.3
Sky Ladder: The Art of Cai Guo-Qiang;English/Mandarin;Documentary;79;7.3
Team Foxcatcher;English/Russian;Documentary;90;7.3
The Ballad of Buster Scruggs;English;Western;132;7.3
The Death and Life of Marsha P. Johnson;English;Documentary;105;7.3
The Fundamentals of Caring;English;Comedy-drama;97;7.3
The Other One: The Long Strange Trip of Bob Weir;English;Documentary;83;7.3
American Factory;English;Documentary;110;7.4
Fire in Paradise;English;Documentary;39;7.4
Long Shot;English;Documentary;40;7.4
Miss Americana;English;Documentary;85;7.4
Period. End of Sentence.;English/Hindi;Documentary;26;7.4
Shawn Mendes: Live in Concert;English;Concert Film;87;7.4
Shirkers;English;Documentary;97;7.4
The Black Godfather;English;Documentary;118;7.4
The Irishman: In Conversation;English;Aftershow / Interview;23;7.4
The Speed Cubers;English;Documentary;40;7.4
They'll Love Me When I'm Dead;English;Documentary;98;7.4
Tig;English;Documentary;80;7.4
Barbra: The Music, The Mem'ries, The Magic!;English;Concert Film;108;7.5
Blackpink: Light Up the Sky;Korean;Documentary;79;7.5
City of Joy;English;Documentary;74;7.5
Dick Johnson Is Dead;English;Documentary;90;7.5
Homecoming: A Film by Beyonce ;English;Documentary;137;7.5
Invader Zim: Enter the Florpus;English;Animation / Science Fiction;71;7.5
Joan Didion: The Center Will Not Hold;English;Documentary;98;7.5
John Mulaney & the Sack Lunch Bunch;English;Variety show;70;7.5
Reversing Roe;English;Documentary;99;7.5
The White Helmets;English;Documentary;40;7.5
Athlete A;English;Documentary;104;7.6
Ludo;Hindi;Anthology/Dark comedy;149;7.6
Quincy;English;Documentary;124;7.6
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere;English;Documentary;144;7.6
Tell Me Who I Am;English;Documentary;85;7.6
The Bleeding Edge;English;Documentary;100;7.6
The Social Dilemma;English;Documentary;94;7.6
The Two Popes;English;Drama;125;7.6
What Happened, Miss Simone?;English;Documentary;84;7.6
Yeh Ballet;Hindi;Drama;117;7.6
Anima;English;Musical / Short;15;7.7
Beasts of No Nation;English/Akan;War drama;136;7.7
Brene Brown: The Call to Courage;English;Documentary;76;7.7
Crip Camp: A Disability Revolution;English;Documentary;108;7.7
Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ;English;Documentary;94;7.7
Justin Timberlake + The Tennessee Kids;English;Concert Film;90;7.7
Road to Roma;Spanish;Making-of;72;7.7
Roma;Spanish;Drama;135;7.7
If Anything Happens I Love You;English;Animation / Short;12;7.8
The Irishman;English;Crime drama;209;7.8
The Trial of the Chicago 7;English;Drama;130;7.8
